Epoch: 1490, Timestep: 1490000, Reward: -439.13, Noise_std: 0.5000, Time: 03:19:28
Epoch: 1500, Timestep: 1500000, Reward: 5.47, Noise_std: 0.5000, Time: 03:20:47
Epoch: 1510, Timestep: 1510000, Reward: 4942.94, Noise_std: 0.5000, Time: 03:22:06
Epoch: 1520, Timestep: 1520000, Reward: 5197.82, Noise_std: 0.5000, Time: 03:23:25
Epoch: 1530, Timestep: 1530000, Reward: 5808.28, Noise_std: 0.5000, Time: 03:24:43
Epoch: 1540, Timestep: 1540000, Reward: 5689.63, Noise_std: 0.5000, Time: 03:26:02
Epoch: 1550, Timestep: 1550000, Reward: 5834.27, Noise_std: 0.5000, Time: 03:27:21
Epoch: 1560, Timestep: 1560000, Reward: 5744.00, Noise_std: 0.5000, Time: 03:28:41
Epoch: 1570, Timestep: 1570000, Reward: 5951.33, Noise_std: 0.5000, Time: 03:30:00
Epoch: 1580, Timestep: 1580000, Reward: 5988.97, Noise_std: 0.5000, Time: 03:31:19
Epoch: 1590, Timestep: 1590000, Reward: 5878.78, Noise_std: 0.5000, Time: 03:32:39
Epoch: 1600, Timestep: 1600000, Reward: 5393.25, Noise_std: 0.5000, Time: 03:33:58
Epoch: 1610, Timestep: 1610000, Reward: -1308.13, Noise_std: 0.5000, Time: 03:35:18
Epoch: 1620, Timestep: 1620000, Reward: -1088.22, Noise_std: 0.5000, Time: 03:36:39
Epoch: 1630, Timestep: 1630000, Reward: 235.86, Noise_std: 0.5000, Time: 03:37:58
Epoch: 1640, Timestep: 1640000, Reward: 402.98, Noise_std: 0.5000, Time: 03:39:18
Epoch: 1650, Timestep: 1650000, Reward: 1212.15, Noise_std: 0.5000, Time: 03:40:37
Epoch: 1660, Timestep: 1660000, Reward: 735.05, Noise_std: 0.5000, Time: 03:41:57
Epoch: 1670, Timestep: 1670000, Reward: 5581.12, Noise_std: 0.5000, Time: 03:43:15
Epoch: 1680, Timestep: 1680000, Reward: 5380.64, Noise_std: 0.5000, Time: 03:44:33
