SquashedGaussianMLPActor(
  (net): Sequential(
    (0): Linear(in_features=23, out_features=256, bias=True)
    (1): ReLU()
    (2): Linear(in_features=256, out_features=256, bias=True)
    (3): ReLU()
    (4): Linear(in_features=256, out_features=256, bias=True)
    (5): ReLU()
    (6): Linear(in_features=256, out_features=256, bias=True)
    (7): ReLU()
  )
  (mu_layer): Linear(in_features=256, out_features=6, bias=True)
  (log_std_layer): Linear(in_features=256, out_features=6, bias=True)
Epoch: 94, Timestep: 94000, Reward: 6425.05, Noise_std: 0.1376, Time: 00:11:23
Epoch: 95, Timestep: 95000, Reward: 6688.14, Noise_std: 0.1380, Time: 00:11:30
Epoch: 96, Timestep: 96000, Reward: 6647.98, Noise_std: 0.1384, Time: 00:11:38
Epoch: 97, Timestep: 97000, Reward: 6703.72, Noise_std: 0.1388, Time: 00:11:45
Epoch: 98, Timestep: 98000, Reward: 6415.44, Noise_std: 0.1392, Time: 00:11:53
Epoch: 99, Timestep: 99000, Reward: 6586.07, Noise_std: 0.1396, Time: 00:12:00
Epoch: 100, Timestep: 100000, Reward: 6766.41, Noise_std: 0.1400, Time: 00:12:08
Epoch: 101, Timestep: 101000, Reward: 6415.57, Noise_std: 0.1404, Time: 00:12:15
Epoch: 102, Timestep: 102000, Reward: 6965.09, Noise_std: 0.1408, Time: 00:12:23
Epoch: 103, Timestep: 103000, Reward: 6652.16, Noise_std: 0.1412, Time: 00:12:30
Epoch: 104, Timestep: 104000, Reward: 6915.10, Noise_std: 0.1416, Time: 00:12:37
Epoch: 105, Timestep: 105000, Reward: 6377.34, Noise_std: 0.1420, Time: 00:12:45
Epoch: 106, Timestep: 106000, Reward: 6902.46, Noise_std: 0.1424, Time: 00:12:52
Epoch: 107, Timestep: 107000, Reward: 7015.10, Noise_std: 0.1428, Time: 00:13:00
Epoch: 108, Timestep: 108000, Reward: 7099.27, Noise_std: 0.1432, Time: 00:13:07
Epoch: 109, Timestep: 109000, Reward: 6457.97, Noise_std: 0.1436, Time: 00:13:14
Epoch: 110, Timestep: 110000, Reward: 6957.81, Noise_std: 0.1440, Time: 00:13:22
Epoch: 111, Timestep: 111000, Reward: 6968.78, Noise_std: 0.1444, Time: 00:13:29
Epoch: 112, Timestep: 112000, Reward: 7231.14, Noise_std: 0.1448, Time: 00:13:37
Epoch: 113, Timestep: 113000, Reward: 7332.26, Noise_std: 0.1452, Time: 00:13:44
Epoch: 114, Timestep: 114000, Reward: 7099.05, Noise_std: 0.1456, Time: 00:13:52
Epoch: 115, Timestep: 115000, Reward: 6593.88, Noise_std: 0.1460, Time: 00:13:59
Epoch: 116, Timestep: 116000, Reward: 7472.90, Noise_std: 0.1464, Time: 00:14:07
Epoch: 117, Timestep: 117000, Reward: 7099.52, Noise_std: 0.1468, Time: 00:14:14
Epoch: 118, Timestep: 118000, Reward: 2427.69, Noise_std: 0.1472, Time: 00:14:21
Epoch: 119, Timestep: 119000, Reward: 7229.76, Noise_std: 0.1476, Time: 00:14:29
Epoch: 120, Timestep: 120000, Reward: 7225.71, Noise_std: 0.1480, Time: 00:14:36
Epoch: 121, Timestep: 121000, Reward: 7562.64, Noise_std: 0.1484, Time: 00:14:44
Epoch: 122, Timestep: 122000, Reward: 7952.10, Noise_std: 0.1488, Time: 00:14:51
Epoch: 123, Timestep: 123000, Reward: 6953.49, Noise_std: 0.1492, Time: 00:14:58
Epoch: 124, Timestep: 124000, Reward: 7582.63, Noise_std: 0.1496, Time: 00:15:06
Epoch: 125, Timestep: 125000, Reward: 7381.61, Noise_std: 0.1500, Time: 00:15:13
Epoch: 126, Timestep: 126000, Reward: 7604.27, Noise_std: 0.1504, Time: 00:15:21
Epoch: 127, Timestep: 127000, Reward: 7625.65, Noise_std: 0.1508, Time: 00:15:28
Epoch: 128, Timestep: 128000, Reward: 7861.70, Noise_std: 0.1512, Time: 00:15:36
Epoch: 129, Timestep: 129000, Reward: 7428.71, Noise_std: 0.1516, Time: 00:15:43
Epoch: 130, Timestep: 130000, Reward: 6852.72, Noise_std: 0.1520, Time: 00:15:50
Epoch: 131, Timestep: 131000, Reward: 7993.94, Noise_std: 0.1524, Time: 00:15:58
Epoch: 132, Timestep: 132000, Reward: 7646.10, Noise_std: 0.1528, Time: 00:16:05
Epoch: 133, Timestep: 133000, Reward: 5357.54, Noise_std: 0.1532, Time: 00:16:13
Epoch: 134, Timestep: 134000, Reward: 8057.89, Noise_std: 0.1536, Time: 00:16:20
Epoch: 135, Timestep: 135000, Reward: 7722.54, Noise_std: 0.1540, Time: 00:16:28
Epoch: 136, Timestep: 136000, Reward: 8226.42, Noise_std: 0.1544, Time: 00:16:35
Epoch: 137, Timestep: 137000, Reward: 7238.48, Noise_std: 0.1548, Time: 00:16:42
Epoch: 138, Timestep: 138000, Reward: 7880.60, Noise_std: 0.1552, Time: 00:16:50
Epoch: 139, Timestep: 139000, Reward: 7243.13, Noise_std: 0.1556, Time: 00:16:57
Epoch: 140, Timestep: 140000, Reward: 7910.62, Noise_std: 0.1560, Time: 00:17:05
Epoch: 141, Timestep: 141000, Reward: 1936.06, Noise_std: 0.1564, Time: 00:17:12
Epoch: 142, Timestep: 142000, Reward: 8031.59, Noise_std: 0.1568, Time: 00:17:19
Epoch: 143, Timestep: 143000, Reward: 7437.31, Noise_std: 0.1572, Time: 00:17:27
Epoch: 144, Timestep: 144000, Reward: 8120.42, Noise_std: 0.1576, Time: 00:17:34
Epoch: 145, Timestep: 145000, Reward: 7095.09, Noise_std: 0.1580, Time: 00:17:42
Epoch: 146, Timestep: 146000, Reward: 6269.71, Noise_std: 0.1584, Time: 00:17:49
Epoch: 147, Timestep: 147000, Reward: 7970.62, Noise_std: 0.1588, Time: 00:17:57
Epoch: 148, Timestep: 148000, Reward: 8558.53, Noise_std: 0.1592, Time: 00:18:04
Epoch: 149, Timestep: 149000, Reward: 7854.44, Noise_std: 0.1596, Time: 00:18:12
Epoch: 150, Timestep: 150000, Reward: 8195.91, Noise_std: 0.1600, Time: 00:18:19
Epoch: 151, Timestep: 151000, Reward: 8087.50, Noise_std: 0.1604, Time: 00:18:26
Epoch: 152, Timestep: 152000, Reward: 8053.37, Noise_std: 0.1608, Time: 00:18:34
Epoch: 153, Timestep: 153000, Reward: 8683.77, Noise_std: 0.1612, Time: 00:18:41
Epoch: 154, Timestep: 154000, Reward: 8844.57, Noise_std: 0.1616, Time: 00:18:49
Epoch: 155, Timestep: 155000, Reward: 7675.58, Noise_std: 0.1620, Time: 00:18:56
Epoch: 156, Timestep: 156000, Reward: 8053.84, Noise_std: 0.1624, Time: 00:19:03
Epoch: 157, Timestep: 157000, Reward: 7597.98, Noise_std: 0.1628, Time: 00:19:11
Epoch: 158, Timestep: 158000, Reward: 7977.43, Noise_std: 0.1632, Time: 00:19:18
Epoch: 159, Timestep: 159000, Reward: 8098.79, Noise_std: 0.1636, Time: 00:19:26
Epoch: 160, Timestep: 160000, Reward: 7402.87, Noise_std: 0.1640, Time: 00:19:33
Epoch: 161, Timestep: 161000, Reward: 6752.63, Noise_std: 0.1644, Time: 00:19:40
Epoch: 162, Timestep: 162000, Reward: 7734.94, Noise_std: 0.1648, Time: 00:19:48
Epoch: 163, Timestep: 163000, Reward: 8410.02, Noise_std: 0.1652, Time: 00:19:55
Epoch: 164, Timestep: 164000, Reward: 7734.35, Noise_std: 0.1656, Time: 00:20:02
Epoch: 165, Timestep: 165000, Reward: 8447.27, Noise_std: 0.1660, Time: 00:20:10
Epoch: 166, Timestep: 166000, Reward: 8679.43, Noise_std: 0.1664, Time: 00:20:17
Epoch: 167, Timestep: 167000, Reward: 8710.41, Noise_std: 0.1668, Time: 00:20:24
Epoch: 168, Timestep: 168000, Reward: 8766.51, Noise_std: 0.1672, Time: 00:20:32
Epoch: 169, Timestep: 169000, Reward: 8587.79, Noise_std: 0.1676, Time: 00:20:39
Epoch: 170, Timestep: 170000, Reward: 8529.43, Noise_std: 0.1680, Time: 00:20:47
Epoch: 171, Timestep: 171000, Reward: 8559.44, Noise_std: 0.1684, Time: 00:20:54
Epoch: 172, Timestep: 172000, Reward: 8261.58, Noise_std: 0.1688, Time: 00:21:02
Epoch: 173, Timestep: 173000, Reward: 8372.77, Noise_std: 0.1692, Time: 00:21:09
Epoch: 174, Timestep: 174000, Reward: 8459.27, Noise_std: 0.1696, Time: 00:21:16
Epoch: 175, Timestep: 175000, Reward: 9233.40, Noise_std: 0.1700, Time: 00:21:24
Epoch: 176, Timestep: 176000, Reward: 2128.95, Noise_std: 0.1704, Time: 00:21:31
Epoch: 177, Timestep: 177000, Reward: 9486.11, Noise_std: 0.1708, Time: 00:21:39
Epoch: 178, Timestep: 178000, Reward: 9096.47, Noise_std: 0.1712, Time: 00:21:46
Epoch: 179, Timestep: 179000, Reward: 9059.92, Noise_std: 0.1716, Time: 00:21:54
Epoch: 180, Timestep: 180000, Reward: 8932.44, Noise_std: 0.1720, Time: 00:22:01
Epoch: 181, Timestep: 181000, Reward: 9362.12, Noise_std: 0.1724, Time: 00:22:08
Epoch: 182, Timestep: 182000, Reward: 8804.31, Noise_std: 0.1728, Time: 00:22:16
Epoch: 183, Timestep: 183000, Reward: 9001.36, Noise_std: 0.1732, Time: 00:22:23
Epoch: 184, Timestep: 184000, Reward: 8572.22, Noise_std: 0.1736, Time: 00:22:31
Epoch: 185, Timestep: 185000, Reward: 9232.53, Noise_std: 0.1740, Time: 00:22:38
Epoch: 186, Timestep: 186000, Reward: 8486.43, Noise_std: 0.1744, Time: 00:22:45
Epoch: 187, Timestep: 187000, Reward: 8955.85, Noise_std: 0.1748, Time: 00:22:53
Epoch: 188, Timestep: 188000, Reward: 8696.24, Noise_std: 0.1752, Time: 00:23:01
Epoch: 189, Timestep: 189000, Reward: 8680.20, Noise_std: 0.1756, Time: 00:23:08
Epoch: 190, Timestep: 190000, Reward: 9041.58, Noise_std: 0.1760, Time: 00:23:15
Epoch: 191, Timestep: 191000, Reward: 9764.86, Noise_std: 0.1764, Time: 00:23:23
Epoch: 192, Timestep: 192000, Reward: 8072.23, Noise_std: 0.1768, Time: 00:23:30
Epoch: 193, Timestep: 193000, Reward: 9144.07, Noise_std: 0.1772, Time: 00:23:37
Epoch: 194, Timestep: 194000, Reward: 8717.60, Noise_std: 0.1776, Time: 00:23:45
Epoch: 195, Timestep: 195000, Reward: 8988.35, Noise_std: 0.1780, Time: 00:23:52
Epoch: 196, Timestep: 196000, Reward: 9435.74, Noise_std: 0.1784, Time: 00:24:00
Epoch: 197, Timestep: 197000, Reward: 9210.87, Noise_std: 0.1788, Time: 00:24:07
Epoch: 198, Timestep: 198000, Reward: 9538.67, Noise_std: 0.1792, Time: 00:24:15
Epoch: 199, Timestep: 199000, Reward: 9170.14, Noise_std: 0.1796, Time: 00:24:22
Epoch: 200, Timestep: 200000, Reward: 8581.74, Noise_std: 0.1800, Time: 00:24:29
Epoch: 201, Timestep: 201000, Reward: 9518.26, Noise_std: 0.1804, Time: 00:24:37
Epoch: 202, Timestep: 202000, Reward: 8881.34, Noise_std: 0.1808, Time: 00:24:45
Epoch: 203, Timestep: 203000, Reward: 9145.72, Noise_std: 0.1812, Time: 00:24:52
Epoch: 204, Timestep: 204000, Reward: 8965.79, Noise_std: 0.1816, Time: 00:24:59
Epoch: 205, Timestep: 205000, Reward: 9556.09, Noise_std: 0.1820, Time: 00:25:07
Epoch: 206, Timestep: 206000, Reward: 9377.39, Noise_std: 0.1824, Time: 00:25:14
Epoch: 207, Timestep: 207000, Reward: 9267.24, Noise_std: 0.1828, Time: 00:25:21
Epoch: 208, Timestep: 208000, Reward: 8527.90, Noise_std: 0.1832, Time: 00:25:29
Epoch: 209, Timestep: 209000, Reward: 9432.98, Noise_std: 0.1836, Time: 00:25:36
Epoch: 210, Timestep: 210000, Reward: 9822.50, Noise_std: 0.1840, Time: 00:25:44
Epoch: 211, Timestep: 211000, Reward: 9277.55, Noise_std: 0.1844, Time: 00:25:51
Epoch: 212, Timestep: 212000, Reward: 9530.81, Noise_std: 0.1848, Time: 00:25:59
Epoch: 213, Timestep: 213000, Reward: 9679.98, Noise_std: 0.1852, Time: 00:26:06
Epoch: 214, Timestep: 214000, Reward: 8669.51, Noise_std: 0.1856, Time: 00:26:14
Epoch: 215, Timestep: 215000, Reward: 8819.59, Noise_std: 0.1860, Time: 00:26:21
Epoch: 216, Timestep: 216000, Reward: 8871.37, Noise_std: 0.1864, Time: 00:26:28
Epoch: 217, Timestep: 217000, Reward: 8855.20, Noise_std: 0.1868, Time: 00:26:36
Epoch: 218, Timestep: 218000, Reward: 9368.34, Noise_std: 0.1872, Time: 00:26:43
Epoch: 219, Timestep: 219000, Reward: 9695.14, Noise_std: 0.1876, Time: 00:26:50
Epoch: 220, Timestep: 220000, Reward: 2052.82, Noise_std: 0.1880, Time: 00:26:58
Epoch: 221, Timestep: 221000, Reward: 8693.20, Noise_std: 0.1884, Time: 00:27:05
Epoch: 222, Timestep: 222000, Reward: 8338.41, Noise_std: 0.1888, Time: 00:27:13
